anio,mundial_1,mundial_2,espana_1,espana_2,fdc_destacado,imagen_fdc,personal_1,personal_1_tipo,personal_2,personal_2_tipo,imagen_1,imagen_2
1958,Fundación de la NASA.,Nacimiento de la V República Francesa.,Ley de Principios del Movimiento Nacional.,Fin de la Guerra de Ifni.,Exposición Universal de Bruselas (Pabellón de España).,,,,,,,
1959,Triunfo de la Revolución Cubana.,Firma del Tratado Antártico.,Plan de Estabilización económica.,Visita de Eisenhower a Madrid.,Día del Sello Hispanoamericano.,,,,,,,
1960,Año de África (17 independencias).,Creación de la OPEP.,"Inicio del ""Desarrollismo"" económico.",Sucesos del Palau de la Música.,Congreso Internacional de Ferrocarriles en Madrid.,,,,,,,
1961,Construcción del Muro de Berlín.,Yuri Gagarin en el espacio.,Planes de desarrollo económico regional.,Inundaciones en Sevilla.,IV Centenario de la capitalidad de Madrid.,,,,,,,
1962,Crisis de los misiles en Cuba.,Concilio Vaticano II.,"""Contubernio de Múnich"".",Huelgas mineras en Asturias.,Centenario del nacimiento de Lope de Vega.,,,,,,,
1963,Asesinato de John F. Kennedy.,"Discurso ""I Have a Dream"".",Ejecución de Julián Grimau.,Tribunal de Orden Público (TOP).,"Serie emblemática ""Forjadores de América"".",,,,,,,
1964,Ley de Derechos Civiles en EE. UU.,Incidente del Golfo de Tonkín.,España gana su primera Eurocopa.,"Campaña ""25 Años de Paz"".","Emisión especial ""XXV Años de Paz Española"".",,,,,,,
1965,Primera caminata espacial (Leonov).,Tropas de EE.UU. a Vietnam.,Protestas universitarias en Madrid.,Fondo de Garantía Salarial.,Año Santo Compostelano.,imagen_fdc_1965.jpg,Nacimiento de Pedro Antonio Vega Polo,nacimiento,,ninguno,,
1966,Revolución Cultural en China.,Misión Gemini 8.,Accidente nuclear de Palomares.,Ley de Prensa (Ley Fraga).,Serie turística monumental: Castillos de España.,,,,,,,
1967,Guerra de los Seis Días.,Primer trasplante de corazón.,Ley Orgánica del Estado.,Ley de Libertad Religiosa.,Año Internacional del Turismo.,,,,,,,
1968,Mayo del 68 en Francia.,Primavera de Praga.,Independencia de Guinea Ecuatorial.,Massiel gana Eurovisión.,Juegos Olímpicos de México 1968.,,,,,,,
1969,Llegada del ser humano a la Luna.,Festival de Woodstock.,Franco designa a Juan Carlos como sucesor.,Escándalo Matesa.,Llegada del hombre a la Luna (Misión Apolo 11).,,,,,,,
1970,Disolución de The Beatles.,Primer Día de la Tierra.,Proceso de Burgos.,Ley General de Educación.,Exposición Filatélica Nacional (EXFILNA '70).,,,,,,,
1971,China ingresa en la ONU.,Fin del patrón oro en EE. UU.,Lanzamiento del SEAT 127.,Conflictos en la fábrica SEAT.,Centenario del nacimiento de Gustavo Adolfo Bécquer.,,,,,,,
1972,Masacre en los Juegos de Múnich.,Escándalo Watergate.,Incendio del Hotel Corona de Aragón.,Accidente en El Cuervo.,Juegos Olímpicos de Múnich 1972.,,,,,,,
1973,Golpe de Estado en Chile.,Crisis mundial del petróleo.,Asesinato de Luis Carrero Blanco.,Proceso 1001 contra CCOO.,Centenario del nacimiento del escritor Azorín.,,,,,,,
1974,Dimisión de Richard Nixon.,Revolución de los Claveles.,Ejecución de Puig Antich.,Congreso de Suresnes (PSOE).,Centenario de la Unión Postal Universal (UPU).,,,,,,,
1975,Fin de la Guerra de Vietnam.,Acuerdos de Helsinki.,Muerte de Francisco Franco.,Proclamación de Juan Carlos I.,Proclamación de S.M. el Rey Don Juan Carlos I.,,,ninguno,,ninguno,,
1976,Reunificación de Vietnam.,Terremoto de Tangshan.,"Adolfo Suárez, presidente.",Ley para la Reforma Política.,Primer Viaje Oficial de los Reyes de España a América.,,,,,,,
1977,Sondas espaciales Voyager.,Presentación del Apple II.,Matanza de Atocha.,Primeras elecciones democráticas.,Conmemoración de las Primeras Elecciones Democráticas.,,,,,,,
1978,Elección de Juan Pablo II.,Acuerdos de Camp David.,Aprobación de la Constitución Española.,Pactos de la Moncloa.,Promulgación de la Constitución Española.,,,,,,,
1979,Revolución Islámica en Irán.,Invasión de Afganistán.,Primeras elecciones municipales.,Victoria de UCD.,Año Internacional del Niño.,,,,,,,
1980,Asesinato de John Lennon.,Guerra Irán-Irak.,Estatuto de los Trabajadores.,Estatutos de autonomía (PV y Cat).,Promoción del Mundial de Fútbol de España '82.,,,,,,,
1981,Atentado contra Juan Pablo II.,Transbordador Columbia.,Intento de golpe de Estado (23-F).,Ley del Divorcio.,Centenario del nacimiento de Pablo Ruiz Picasso.,,,,,,,
1982,Guerra de las Malvinas.,Muerte de Leonid Brézhnev.,Victoria histórica del PSOE.,Mundial de España e ingreso en la OTAN.,Copa Mundial de Fútbol España '82 (Naranjito).,,,,,,,
1983,Invasión de EE. UU. a Granada.,Iniciativa de Defensa Estratégica.,Inundaciones en el País Vasco.,Inicio de los atentados del GAL.,Reconocimiento a los Estatutos de Autonomía.,,,,,,,
1984,Desastre químico en Bhopal.,Juegos Olímpicos de Los Ángeles.,Plan de Reconversión Industrial.,Ley Orgánica del Derecho a la Educación.,"Exposición Mundial de Filatelia ""España 84"".",,,,,,,
1985,Macroconciertos Live Aid.,Cumbre Reagan-Gorbachov.,Tratado de Adhesión a la CEE.,Ley del Aborto.,Ingreso de España en la Comunidad Económica Europea.,,,,,,,
1986,Tragedia del Challenger.,Desastre de Chernóbil.,Entrada formal en la CEE.,Referéndum de la OTAN.,250 Aniversario de la Renta de Correos de España.,,,,,,,
1987,Tratado INF (armas nucleares).,Lunes Negro bursátil.,Atentado de Hipercor.,Atentado en la casa cuartel de Zaragoza.,Patrimonio de la Humanidad: Ciudad Histórica de Toledo.,,,,,,,
1988,Fin de la Guerra Irán-Irak.,Atentado de Lockerbie.,Huelga general (14-D).,Ley de Televisión Privada.,V Centenario del Descubrimiento de América (Inicio series).,,,,,,,
1989,Caída del Muro de Berlín.,Protestas en Tiananmén.,Primeras cadenas privadas de TV.,Nueva victoria del PSOE.,Presidencia Española de la Comunidad Europea.,,,,,,,
1990,Reunificación de Alemania.,Invasión de Kuwait.,Aprobación de la LOGSE.,Creación de la Agencia Tributaria.,Nueva serie básica con la efigie de Juan Carlos I.,,,,,,,
1991,Disolución de la URSS.,Guerra del Golfo.,Tratado de Maastricht.,Infraestructuras para los eventos del 92.,Exposición Filatélica Mundial de la Juventud.,,,,,,,
1992,Tratado de Maastricht de la UE.,Fin de Guerra Civil en El Salvador.,Juegos Olímpicos de Barcelona.,Expo 92 e inauguración del AVE.,Juegos Olímpicos de Barcelona y Expo '92 (Emisión conjunta).,,,,,,,
1993,Acuerdos de Paz de Oslo.,Entrada en vigor del TUE.,Fuerte crisis económica.,Elecciones generales (victoria PSOE).,Año Santo Jacobeo 1993.,,,,,,,
1994,Genocidio de Ruanda.,Elección de Nelson Mandela.,Escándalo del caso Roldán.,Misiones de paz en Bosnia.,Centenario de la Fundación del Comité Olímpico Internacional.,,,,,,,
1995,Atentado de Oklahoma City.,Acuerdos de Dayton.,Atentado fallido contra Aznar.,Nuevo Código Penal.,Presidencia Española de la Unión Europea.,,,,,,,
1996,Nacimiento de la oveja Dolly.,Victoria de Bill Clinton.,Victoria del PP (Aznar).,Secuestro de Ortega Lara.,250 Aniversario del nacimiento de Francisco de Goya.,,,,,,,
1997,Devolución de Hong Kong.,Fallecimiento de Diana de Gales.,Asesinato de Miguel Ángel Blanco.,Liberación de Ortega Lara.,450 Aniversario del nacimiento de Miguel de Cervantes.,,,,,,,
1998,Acuerdo del Viernes Santo.,Protocolo de Kioto.,Tregua unilateral de ETA.,Detención de Pinochet en Londres.,Centenario de la Generación del 98 (FDC homenaje).,,,,,,,
1999,Creación del Euro (mercados).,Guerra de Kosovo.,Adopción del marco del Euro.,Ruptura de la tregua de ETA.,Año Santo Jacobeo 1999.,,,,,,,
2000,Cumbre del Milenio (ONU).,Elección de George W. Bush.,Mayoría absoluta del PP.,Asesinato de Ernest Lluch.,"Emisión conjunta ""Cambio de Milenio"".",,,,,,,
2001,Atentados del 11 de septiembre.,Invasión de Afganistán.,Supresión del Servicio Militar.,Pacto Antiterrorista.,Año Mundial de las Matemáticas y el Nuevo Milenio.,,,,,,,
2002,Entrada en circulación del Euro.,Corte Penal Internacional.,Retirada de la Peseta.,Catástrofe del petrolero Prestige.,Introducción oficial de la Moneda Euro (Primeros sellos faciales).,,,,,,,
2003,Invasión de Irak.,Epidemia del SARS.,Protestas contra la Guerra de Irak.,Accidente del Yak-42.,25 Aniversario de la Constitución Española.,,,,,,,
2004,Tsunami en el Océano Índico.,Ampliación de la UE.,Atentados del 11-M en Madrid.,Victoria de Rodríguez Zapatero.,Enlace Matrimonial de S.A.R. el Príncipe de Asturias.,,,,,,,
2005,Protocolo de Kioto en vigor.,Elección de Benedicto XVI.,Ley de matrimonio igualitario.,Incendio de Guadalajara.,IV Centenario de la publicación de Don Quijote de la Mancha.,,,,,,,
2006,Ejecución de Sadam Husein.,Guerra Israel-Líbano.,Atentado de la T4 de Barajas.,Nuevo Estatuto de Cataluña.,V Encuentro Mundial de las Familias en Valencia.,,,,,,,
2007,Inicio de la crisis subprime.,Presentación del primer iPhone.,Ley de Memoria Histórica.,"Incidente ""¿Por qué no te callas?"".",50 Aniversario del Tratado de Roma.,,,,,,,
2008,Quiebra de Lehman Brothers.,Elección de Barack Obama.,Estallido de la crisis económica.,España gana la Eurocopa.,Exposición Internacional del Agua (Expo Zaragoza 2008).,,,,,,,
2009,Pandemia de Gripe A (H1N1).,Tratado de Lisboa (UE).,Plan E de estímulo económico.,Ley del Aborto.,Año Internacional de la Astronomía.,,,,,,,
2010,Terremoto de Haití.,Inicio de la Primavera Árabe.,España gana el Mundial de Fútbol.,Primeros recortes bancarios.,Xacobeo 2010 y Estrella de Campeones del Mundial.,,,,,,,
2011,Accidente de Fukushima.,Muerte de Osama bin Laden.,Movimiento del 15-M.,Cese definitivo de ETA.,Jornada Mundial de la Juventud (JMJ) en Madrid.,,,,,,,
2012,Descubrimiento del Bosón de Higgs.,Reelección de Obama.,Rescate financiero a la banca.,Reforma Laboral (Rajoy).,Bicentenario de la Constitución de Cádiz (La Pepa).,,,,,,,
2013,Elección del Papa Francisco.,Filtraciones de Snowden.,Imputación de la Infanta Cristina.,Escándalo de los papeles de Bárcenas.,Milenio de la Fundación del Reino de Granada.,,,,,,,
2014,Anexión de Crimea (Rusia).,Epidemia de Ébola.,Abdicación de Juan Carlos I.,Irrupción de Podemos.,Proclamación de S.M. el Rey Don Felipe VI.,,,,,,,
2015,Crisis de los refugiados.,Acuerdo de París.,Fragmentación del Parlamento.,Alerta antiterrorista Nivel 4.,IV Centenario de la Segunda Parte del Quijote.,,,,,,,
2016,Triunfo del Brexit.,Elección de Donald Trump.,Repetición de elecciones generales.,Investidura de Rajoy.,IV Centenario de la Muerte de Miguel de Cervantes.,,,,,,,
2017,Prohibición de Armas Nucleares.,Movimiento #MeToo.,Atentados en Barcelona.,Artículo 155 en Cataluña.,25 Aniversario de los Juegos de Barcelona y Expo '92.,,,,,,,
2018,Cumbre Trump-Kim.,Asesinato de Khashoggi.,"Pedro Sánchez, presidente.",Disolución de ETA.,40 Aniversario de la Promulgación de la Constitución.,,,,,,,
2019,Foto de un agujero negro.,Incendio de Notre Dame.,Exhumación de Francisco Franco.,Primer Gobierno de coalición.,V Centenario de la Primera Vuelta al Mundo (Magallanes-Elcano).,,,,,,,
2020,Pandemia de la COVID-19.,Elección de Joe Biden.,Confinamiento por la pandemia.,Juan Carlos I traslada su residencia.,FDC Homenaje a los Sanitarios y Víctimas de la COVID-19.,,,,,,,
2021,Asalto al Capitolio de EE. UU.,Regreso talibán en Afganistán.,Erupción del volcán de La Palma.,Borrasca Filomena.,Año Santo Jacobeo 2021-2022.,,,,,,,
2022,Invasión rusa de Ucrania.,Muerte de la Reina Isabel II.,Ley de Libertad Sexual.,Feijóo lidera el PP.,V Centenario del fallecimiento de Antonio de Nebrija.,,,,,,,
2023,Conflicto entre Israel y Gaza.,Irrupción masiva de la IA.,España gana el Mundial femenino.,Debate sobre la amnistía.,50 Aniversario del fallecimiento de Pablo Ruiz Picasso.,,,,,,,
2024,Elecciones en EE. UU.,Programa espacial Artemis.,Ley de Amnistía.,Inundaciones de la DANA en Valencia.,Centenario del nacimiento del escultor Eduardo Chillida.,,,,,,,
2025,Regulaciones internacionales de la IA.,Acuerdos de descarbonización.,Récords en energías renovables.,Debates de financiación autonómica.,Centenario de la Exposición Internacional de Artes Decorativas.,,,,,,,
2026,Hitos de exploración en Luna y Marte.,Acuerdos de desarrollo sostenible.,Cumbres culturales europeas.,Planes de transformación digital.,"Copa Mundial de Fútbol 2026 (EE. UU., México, Canadá).",,,,,,,
